timestamp,f_peak_hz,velocity_m_s,velocity_kmh,snr_db
2026-04-06T13:00:51.253,11.92,0.8224,2.96,35.26
2026-04-06T13:00:51.554,-19.87,-1.3707,-4.93,35.77
2026-04-06T13:00:53.699,39.75,2.7413,9.87,50.66
2026-04-06T13:00:55.506,-19.87,-1.3707,-4.93,33.61
2026-04-06T13:00:55.804,-23.85,-1.6448,-5.92,30.25
2026-04-06T13:00:57.319,19.87,1.3707,4.93,21.77
2026-04-06T13:00:57.621,31.80,2.1931,7.90,39.06
2026-04-06T13:14:18.186,19.87,1.3707,4.93,29.64
2026-04-06T13:14:18.486,-23.85,-1.6448,-5.92,22.54
2026-04-06T13:14:20.828,31.80,2.1931,7.90,39.99
2026-04-06T13:14:21.129,15.90,1.0965,3.95,19.68
2026-04-06T13:14:22.665,-39.75,-2.7413,-9.87,30.26
2026-04-06T13:14:23.896,11.92,0.8224,2.96,21.24
2026-04-06T13:14:26.334,-23.85,-1.6448,-5.92,21.62
2026-04-06T13:14:28.155,11.92,0.8224,2.96,18.32
2026-04-06T13:14:43.275,-11.92,-0.8224,-2.96,27.45
2026-04-06T13:14:43.582,-11.92,-0.8224,-2.96,19.08
2026-04-06T13:14:50.846,11.92,0.8224,2.96,20.06
2026-04-06T13:14:51.151,-15.90,-1.0965,-3.95,17.86
2026-04-06T13:14:51.453,-11.92,-0.8224,-2.96,22.42
2026-04-06T13:14:55.037,27.82,1.9189,6.91,25.34
2026-04-06T13:14:55.342,11.92,0.8224,2.96,21.99
2026-04-06T13:14:59.608,11.92,0.8224,2.96,13.26
2026-04-06T13:15:00.511,11.92,0.8224,2.96,24.63
2026-04-06T13:15:02.296,-11.92,-0.8224,-2.96,15.51
2026-04-06T13:15:03.185,-11.92,-0.8224,-2.96,17.34
2026-04-06T13:15:07.416,11.92,0.8224,2.96,26.07
2026-04-06T13:15:07.715,11.92,0.8224,2.96,19.02
2026-04-06T13:15:08.011,11.92,0.8224,2.96,20.51
2026-04-06T13:15:08.311,11.92,0.8224,2.96,16.57
2026-04-06T13:15:09.806,-11.92,-0.8224,-2.96,16.26
2026-04-06T13:15:13.082,11.92,0.8224,2.96,15.29
